Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-19,11.295,11.295,11.295,11.295,100,0.0,0.0
2020-03-20,12.236,12.236,11.295,12.001,2300,0.0,0.0
2020-03-23,12.001,12.001,10.824,10.862,18700,0.0,0.0
2020-03-24,12.142,12.142,10.824,11.013,96100,0.0,0.0
2020-03-25,11.107,12.66,11.107,12.66,19200,0.0,0.0
2020-03-26,13.178,14.542,13.178,14.542,76400,0.0,0.0
2020-03-27,14.119,15.06,13.695,13.695,486500,0.0,0.0
2020-03-30,14.354,15.531,14.354,14.966,210000,0.0,0.0
2020-03-31,15.427,16.237,13.705,16.237,461500,0.0,0.0
2020-04-01,15.06,15.06,13.705,14.166,2998900,0.0,0.0
2020-04-02,14.74,14.966,11.408,12.5,15966300,0.0,0.0
2020-04-03,12.942,16.001,12.594,15.926,66934300,0.0,0.0
2020-04-06,16.058,16.142,13.978,14.533,37138000,0.0,0.0
2020-04-07,14.307,14.872,13.695,14.354,23486000,0.0,0.0
2020-04-08,13.648,14.354,12.923,13.422,49372700,0.0,0.0
2020-04-09,13.178,14.589,13.083,13.912,34992600,0.0,0.0
2020-04-13,13.648,13.648,13.159,13.168,21497400,0.0,0.0
2020-04-14,13.178,13.366,12.97,13.055,22350000,0.0,0.0
2020-04-15,12.735,12.853,12.18,12.575,14990700,0.0,0.0
2020-04-16,12.377,12.472,11.54,12.133,21745200,0.0,0.0
2020-04-17,12.519,13.017,12.17,12.933,21336500,0.0,0.0
2020-04-20,12.707,13.874,12.683,13.601,20032200,0.0,0.0
2020-04-21,13.385,14.354,13.347,13.827,16235900,0.0,0.0
2020-04-22,14.072,14.269,13.385,13.921,12539500,0.0,0.0
2020-04-23,13.836,14.985,13.752,14.796,12226000,0.0,0.0
2020-04-24,14.684,15.691,14.392,15.295,17390000,0.0,0.0
2020-04-27,15.22,15.822,15.036,15.813,12186100,0.0,0.0
2020-04-28,15.888,16.707,15.634,16.001,12983800,0.0,0.0
2020-04-29,16.434,17.018,16.161,16.604,12523200,0.0,0.0
2020-04-30,16.208,16.792,15.987,16.67,19094100,0.0,0.0
2020-05-01,16.312,16.331,15.644,15.785,10727200,0.0,0.0
2020-05-04,15.201,15.549,14.768,15.437,9700300,0.0,0.0
2020-05-05,15.7,15.775,14.909,15.032,16298000,0.0,0.0
2020-05-06,15.06,15.408,14.524,15.333,10647200,0.0,0.0
2020-05-07,15.258,16.039,14.947,15.446,12454100,0.0,0.0
2020-05-08,16.039,17.319,15.94,17.281,17693300,0.0,0.0
2020-05-11,17.347,17.648,16.961,17.272,9574600,0.0,0.0
2020-05-12,17.31,17.319,16.651,16.754,7743200,0.0,0.0
2020-05-13,16.199,16.413,15.154,15.474,10676300,0.0,0.0
2020-05-14,15.079,15.733,14.796,15.578,7797200,0.0,0.0
2020-05-15,15.342,15.968,15.06,15.728,7353800,0.0,0.0
2020-05-18,16.284,16.679,16.274,16.519,6135000,0.0,0.0
2020-05-19,16.415,16.867,16.142,16.726,8338100,0.0,0.0
2020-05-20,17.093,17.931,16.98,17.63,11910000,0.0,0.0
2020-05-21,17.451,18.373,17.413,18.307,9711500,0.0,0.0
2020-05-22,18.326,18.693,17.837,17.931,5937100,0.0,0.0
2020-05-26,18.458,19.39,18.204,18.364,7305400,0.0,0.0
2020-05-27,18.42,18.947,18.289,18.816,8969700,0.0,0.0
2020-05-28,18.9,19.258,18.359,18.449,8509200,0.0,0.0
2020-05-29,17.846,19.747,17.771,19.267,32990600,0.0,0.0
2020-06-01,19.343,20.66,19.343,20.538,7695700,0.0,0.0
2020-06-02,20.416,20.547,19.677,20.105,8295600,0.0,0.0
2020-06-03,20.209,21.253,20.124,20.915,9636300,0.0,0.0
2020-06-04,20.736,21.762,20.736,21.348,6651900,0.0,0.0
2020-06-05,22.157,22.967,22.006,22.176,7843600,0.0,0.0
2020-06-08,22.242,22.948,21.941,22.938,8570400,0.0,0.0
2020-06-09,22.345,22.552,21.846,21.846,6850000,0.0,0.0
2020-06-10,20.999,21.79,20.745,20.896,10262100,0.0,0.0
2020-06-11,18.976,20.519,18.825,19.823,6834800,0.0,0.0
2020-06-12,20.708,20.999,19.785,20.275,5212800,0.0,0.0
2020-06-15,19.503,21.216,19.418,20.679,7735600,0.0,0.0
2020-06-16,21.611,21.63,20.637,20.773,7287800,0.0,0.0
2020-06-17,20.868,21.028,19.842,20.011,5737700,0.0,0.0
2020-06-18,19.766,20.604,19.766,20.002,3618900,0.0,0.0
2020-06-19,20.482,20.566,19.766,20.19,14451100,0.0,0.0
2020-06-22,20.256,21.484,20.058,21.404,5995500,0.0,0.0
2020-06-23,21.762,21.875,21.009,21.075,5961200,0.0,0.0
2020-06-24,20.802,21.329,20.19,20.538,6825600,0.0,0.0
2020-06-25,20.425,20.661,19.872,20.33,6141000,0.08,0.0
2020-06-26,20.33,20.538,19.453,19.811,21346900,0.0,0.0
2020-06-29,19.915,21.228,19.839,20.897,8086000,0.0,0.0
2020-06-30,20.604,21.171,20.226,20.992,7082500,0.0,0.0
2020-07-01,21.086,21.738,20.661,21.36,9181500,0.0,0.0
2020-07-02,21.719,21.936,21.322,21.643,5667400,0.0,0.0
