Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,206.903,207.91,206.054,207.601,1178900,0.0,0.0
2017-01-04,207.91,209.457,207.548,207.919,664100,0.0,0.0
2017-01-05,207.884,209.837,207.123,208.573,891200,0.0,0.0
2017-01-06,208.493,209.908,208.378,209.227,619200,0.0,0.0
2017-01-09,209.324,210.279,208.308,208.414,703600,0.0,0.0
2017-01-10,208.104,208.396,205.665,206.027,1361200,0.0,0.0
2017-01-11,206.637,207.557,203.403,204.649,1142300,0.0,0.0
2017-01-12,204.498,204.861,201.396,202.528,1159100,0.0,0.0
2017-01-13,202.395,204.154,201.953,203.429,1007400,0.0,0.0
2017-01-17,203.968,203.968,201.007,201.935,978900,0.0,0.0
2017-01-18,201.918,204.233,201.511,203.491,863600,0.0,0.0
2017-01-19,204.392,206.628,203.367,205.391,966800,0.0,0.0
2017-01-20,206.027,206.072,203.951,205.144,864500,0.0,0.0
2017-01-23,205.93,206.231,203.394,204.772,779200,0.0,0.0
2017-01-24,202.749,205.886,201.06,205.568,1034300,0.0,0.0
2017-01-25,206.098,206.142,203.288,204.021,1073000,0.0,0.0
2017-01-26,202.581,204.021,197.87,200.592,2499100,0.0,0.0
2017-01-27,200.654,207.327,200.654,203.129,1948300,0.0,0.0
2017-01-30,203.367,204.905,201.37,202.819,1270700,0.0,0.0
2017-01-31,201.414,203.031,199.752,202.466,1495800,0.0,0.0
2017-02-01,202.148,203.411,201.273,202.236,1148800,0.0,0.0
2017-02-02,201.865,203.403,201.449,203.146,916000,0.0,0.0
2017-02-03,203.332,205.868,202.846,204.481,1297900,0.0,0.0
2017-02-06,204.658,206.31,204.525,205.771,1097600,0.0,0.0
2017-02-07,205.338,206.699,205.135,205.913,817000,0.0,0.0
2017-02-08,205.851,206.293,205.276,205.418,972100,0.0,0.0
2017-02-09,205.418,208.034,205.029,207.557,1094400,0.0,0.0
2017-02-10,207.327,209.077,206.876,208.803,949200,0.0,0.0
2017-02-13,209.51,211.984,209.041,211.304,1029500,0.0,0.0
2017-02-14,211.242,212.409,210.729,211.781,790800,0.0,0.0
2017-02-15,211.357,213.876,211.189,213.522,739700,0.0,0.0
2017-02-16,213.531,215.369,212.833,215.237,951100,0.0,0.0
2017-02-17,215.113,215.644,213.787,215.281,778000,0.0,0.0
2017-02-21,214.123,216.386,213.62,215.758,828900,0.0,0.0
2017-02-22,215.078,215.237,213.894,214.751,949600,0.0,0.0
2017-02-23,214.168,215.643,213.531,215.529,724900,0.0,0.0
2017-02-24,215.29,216.792,214.362,216.58,815100,0.0,0.0
2017-02-27,217.058,220.451,216.633,219.718,1041800,0.0,0.0
2017-02-28,218.746,219.453,216.996,218.383,1564400,0.0,0.0
2017-03-01,219.073,219.965,217.314,217.358,1899100,0.0,0.0
2017-03-02,217.331,217.677,215.194,215.619,1172500,0.9,0.0
2017-03-03,215.557,216.232,214.759,215.495,866100,0.0,0.0
2017-03-06,215.052,216.143,214.644,215.486,932700,0.0,0.0
2017-03-07,215.123,216.373,214.732,216.249,917200,0.0,0.0
2017-03-08,216.444,217.402,215.611,216.063,675600,0.0,0.0
2017-03-09,216.515,217.101,216.019,216.551,611200,0.0,0.0
2017-03-10,216.941,217.181,215.069,216.081,688600,0.0,0.0
2017-03-13,216.036,217.092,215.344,216.817,750600,0.0,0.0
2017-03-14,216.019,216.773,215.336,216.24,460700,0.0,0.0
2017-03-15,216.267,216.844,215.673,216.302,756200,0.0,0.0
2017-03-16,216.444,216.56,212.648,213.145,1081700,0.0,0.0
2017-03-17,213.89,217.065,213.508,216.666,1225000,0.0,0.0
2017-03-20,217.127,217.739,215.282,215.548,527000,0.0,0.0
2017-03-21,216.178,216.178,212.32,212.648,805700,0.0,0.0
2017-03-22,212.657,214.67,212.098,213.907,677500,0.0,0.0
2017-03-23,213.783,214.12,212.124,212.453,596500,0.0,0.0
2017-03-24,212.231,212.745,209.871,210.129,753200,0.0,0.0
2017-03-27,209.153,209.676,206.864,209.197,969000,0.0,0.0
2017-03-28,208.558,211.104,207.884,210.404,733000,0.0,0.0
2017-03-29,209.933,210.164,208.523,209.809,612700,0.0,0.0
2017-03-30,209.596,212.204,208.949,212.062,853000,0.0,0.0
2017-03-31,211.761,211.947,210.847,210.98,964700,0.0,0.0
2017-04-03,210.749,211.619,210.058,210.953,671500,0.0,0.0
2017-04-04,210.226,211.184,209.729,210.803,701900,0.0,0.0
2017-04-05,211.122,212.728,209.224,209.437,958200,0.0,0.0
2017-04-06,209.339,210.696,208.603,209.942,703900,0.0,0.0
2017-04-07,212.648,213.003,210.581,211.841,722700,0.0,0.0
2017-04-10,211.69,213.295,211.113,212.311,712800,0.0,0.0
2017-04-11,212.204,213.916,211.317,213.828,679400,0.0,0.0
