Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,10.467,10.73,10.431,10.594,2011500,0.0,0.0
2017-01-04,10.603,10.784,10.603,10.757,1256000,0.0,0.0
2017-01-05,10.757,10.857,10.676,10.775,2412000,0.0,0.0
2017-01-06,10.766,10.875,10.658,10.812,1697200,0.0,0.0
2017-01-09,10.784,10.92,10.748,10.875,2372400,0.0,0.0
2017-01-10,10.92,10.938,10.784,10.875,2780900,0.0,0.0
2017-01-11,10.875,11.029,10.821,10.911,2550400,0.0,0.0
2017-01-12,10.884,11.038,10.748,10.893,2820400,0.0,0.0
2017-01-13,10.884,10.966,10.812,10.92,1561300,0.0,0.0
2017-01-17,10.848,11.111,10.775,11.084,2610100,0.0,0.0
2017-01-18,11.056,11.074,10.875,11.002,2310800,0.0,0.0
2017-01-19,11.002,11.002,10.848,10.911,2306400,0.0,0.0
2017-01-20,10.92,10.984,10.812,10.848,1497500,0.0,0.0
2017-01-23,10.848,10.884,10.766,10.839,1140200,0.0,0.0
2017-01-24,10.839,11.029,10.793,10.975,1961100,0.0,0.0
2017-01-25,10.993,11.201,10.984,11.156,1861100,0.0,0.0
2017-01-26,11.165,11.21,10.893,11.074,1395900,0.0,0.0
2017-01-27,11.047,11.21,10.975,11.201,1841800,0.0,0.0
2017-01-30,11.174,11.183,10.975,11.174,1406700,0.0,0.0
2017-01-31,11.129,11.165,10.948,11.138,1436900,0.0,0.0
2017-02-01,11.138,11.247,11.02,11.201,2004100,0.0,0.0
2017-02-02,11.219,11.219,11.038,11.074,2174700,0.0,0.0
2017-02-03,11.111,11.147,11.029,11.12,2440300,0.0,0.0
2017-02-06,11.111,11.192,11.056,11.074,1275600,0.0,0.0
2017-02-07,11.093,11.093,10.938,11.056,1639600,0.0,0.0
2017-02-08,11.056,11.138,10.875,11.02,2059400,0.0,0.0
2017-02-09,11.065,11.247,11.038,11.229,2419300,0.0,0.0
2017-02-10,11.328,12.162,11.047,12.044,4797500,0.0,0.0
2017-02-13,12.117,12.216,11.836,11.854,2640800,0.0,0.0
2017-02-14,11.881,11.935,11.736,11.854,3224400,0.0,0.0
2017-02-15,11.818,11.981,11.763,11.872,2738500,0.0,0.0
2017-02-16,11.863,12.035,11.763,11.827,2531700,0.0,0.0
2017-02-17,11.799,11.908,11.664,11.854,3753400,0.0,0.0
2017-02-21,11.854,12.207,11.827,12.08,2836400,0.0,0.0
2017-02-22,12.071,12.108,11.881,12.044,2592800,0.0,0.0
2017-02-23,12.026,12.126,11.863,11.999,3460600,0.0,0.0
2017-02-24,11.999,12.008,11.736,11.872,2170400,0.0,0.0
2017-02-27,11.899,11.935,11.781,11.836,1738800,0.0,0.0
2017-02-28,11.836,11.836,11.6,11.618,2559700,0.0,0.0
2017-03-01,11.709,11.881,11.645,11.863,1995100,0.0,0.0
2017-03-02,11.881,11.881,11.609,11.636,1427600,0.0,0.0
2017-03-03,11.591,11.718,11.546,11.691,2451200,0.0,0.0
2017-03-06,11.582,11.754,11.582,11.736,2218100,0.0,0.0
2017-03-07,11.845,12.089,11.437,11.473,2553800,0.0,0.0
2017-03-08,11.491,11.519,11.301,11.319,2167400,0.0,0.0
2017-03-09,11.319,11.383,11.174,11.247,1351600,0.0,0.0
2017-03-10,11.292,11.337,11.074,11.219,1689700,0.0,0.0
2017-03-13,11.192,11.302,11.192,11.219,1704500,0.1,0.0
2017-03-14,11.192,11.329,11.146,11.329,1698400,0.0,0.0
2017-03-15,11.338,11.941,11.283,11.512,1857400,0.0,0.0
2017-03-16,11.503,11.557,11.448,11.548,1541000,0.0,0.0
2017-03-17,11.512,11.612,11.484,11.557,2534200,0.0,0.0
2017-03-20,11.576,11.576,11.448,11.539,1121000,0.0,0.0
2017-03-21,11.603,11.658,11.42,11.439,3366600,0.0,0.0
2017-03-22,11.448,11.503,11.356,11.439,1429500,0.0,0.0
2017-03-23,11.439,11.53,11.411,11.466,1421700,0.0,0.0
2017-03-24,11.494,11.567,11.42,11.466,1180200,0.0,0.0
2017-03-27,11.42,11.521,11.42,11.494,1404900,0.0,0.0
2017-03-28,11.503,11.758,11.466,11.731,1211500,0.0,0.0
2017-03-29,11.704,11.905,11.649,11.877,1136500,0.0,0.0
2017-03-30,11.868,12.16,11.832,12.097,2539200,0.0,0.0
2017-03-31,11.959,11.969,11.777,11.877,3624000,0.0,0.0
2017-04-03,11.841,12.051,11.667,11.685,2463900,0.0,0.0
2017-04-04,11.731,11.777,11.64,11.667,1445400,0.0,0.0
2017-04-05,11.713,11.795,11.466,11.539,2085500,0.0,0.0
2017-04-06,11.503,11.576,11.42,11.484,1724900,0.0,0.0
2017-04-07,11.466,11.484,11.42,11.43,3552600,0.0,0.0
2017-04-10,11.43,11.539,11.42,11.448,1913100,0.0,0.0
2017-04-11,11.42,11.475,11.366,11.42,1623700,0.0,0.0
2017-04-12,11.411,11.484,11.338,11.411,1697200,0.0,0.0
2017-04-13,11.411,11.439,11.256,11.265,1857400,0.0,0.0
2017-04-17,11.32,11.366,11.238,11.338,1617700,0.0,0.0
2017-04-18,11.293,11.375,11.137,11.265,1668200,0.0,0.0
2017-04-19,11.311,11.402,11.274,11.356,1696500,0.0,0.0
2017-04-20,11.375,11.886,11.356,11.822,2718600,0.0,0.0
2017-04-21,11.795,11.868,11.621,11.777,2142300,0.0,0.0
2017-04-24,11.923,11.959,11.85,11.914,1498700,0.0,0.0
2017-04-25,11.95,11.996,11.877,11.941,1236300,0.0,0.0
2017-04-26,11.941,12.005,11.822,11.822,2187800,0.0,0.0
2017-04-27,11.841,11.905,11.768,11.841,1195100,0.0,0.0
2017-04-28,11.813,11.859,11.503,11.621,1872300,0.0,0.0
2017-05-01,11.649,11.749,11.557,11.64,1141800,0.0,0.0
2017-05-02,11.612,11.649,11.494,11.53,1508900,0.0,0.0
2017-05-03,11.503,11.521,11.411,11.484,1629900,0.0,0.0
2017-05-04,11.548,11.548,11.356,11.484,2490500,0.0,0.0
2017-05-05,11.503,11.594,11.503,11.594,951000,0.0,0.0
2017-05-08,11.603,11.804,11.567,11.685,2245400,0.0,0.0
2017-05-09,11.704,11.987,11.658,11.978,3330300,0.0,0.0
2017-05-10,11.238,12.151,11.201,11.612,4191700,0.0,0.0
2017-05-11,11.576,11.667,11.475,11.585,2551000,0.0,0.0
2017-05-12,11.576,11.631,11.503,11.612,1653800,0.0,0.0
2017-05-15,11.676,11.822,11.658,11.777,2005700,0.0,0.0
2017-05-16,11.841,11.841,11.704,11.813,1797100,0.0,0.0
2017-05-17,11.731,11.749,11.557,11.567,2493800,0.0,0.0
2017-05-18,11.594,11.676,11.494,11.603,2378000,0.0,0.0
2017-05-19,11.621,11.722,11.43,11.713,1682100,0.0,0.0
2017-05-22,11.749,12.014,11.612,11.987,1861200,0.0,0.0
2017-05-23,12.033,12.115,11.932,12.014,1455400,0.0,0.0
2017-05-24,12.051,12.087,11.987,12.078,1025300,0.0,0.0
2017-05-25,12.142,12.16,12.033,12.069,956700,0.0,0.0
2017-05-26,12.087,12.27,12.033,12.261,1871000,0.0,0.0
2017-05-30,12.17,12.27,12.005,12.142,1470600,0.0,0.0
2017-05-31,12.179,12.234,11.969,12.224,2527600,0.0,0.0
2017-06-01,12.334,12.444,12.224,12.398,1644100,0.0,0.0
2017-06-02,12.38,12.462,12.27,12.407,1507000,0.0,0.0
2017-06-05,12.435,12.435,12.252,12.279,1581100,0.0,0.0
2017-06-06,12.252,12.334,12.078,12.316,1459400,0.0,0.0
2017-06-07,12.371,12.38,12.16,12.206,1990700,0.0,0.0
2017-06-08,12.307,12.361,12.042,12.343,2104800,0.0,0.0
2017-06-09,12.38,12.499,12.27,12.471,1701200,0.0,0.0
2017-06-12,12.471,12.645,12.453,12.489,1603200,0.0,0.0
2017-06-13,12.471,12.517,12.361,12.389,1946300,0.0,0.0
2017-06-14,12.416,12.453,12.334,12.407,2748400,0.0,0.0
2017-06-15,12.416,12.535,12.279,12.435,1281200,0.0,0.0
2017-06-16,12.462,12.59,12.352,12.544,2200100,0.0,0.0
2017-06-19,12.562,12.654,12.453,12.59,827400,0.0,0.0
2017-06-20,12.562,12.562,12.316,12.325,914500,0.0,0.0
2017-06-21,12.371,12.435,12.279,12.361,1436100,0.0,0.0
2017-06-22,12.361,12.38,12.151,12.288,1379700,0.0,0.0
2017-06-23,12.279,12.444,12.224,12.416,1415800,0.0,0.0
2017-06-26,12.435,12.499,12.361,12.48,1030100,0.0,0.0
2017-06-27,12.435,12.599,12.407,12.48,1180800,0.0,0.0
2017-06-28,12.535,12.718,12.517,12.654,1760100,0.0,0.0
2017-06-29,12.654,12.718,12.234,12.425,1757200,0.0,0.0
2017-06-30,12.453,12.572,12.197,12.517,1754200,0.0,0.0
2017-07-03,12.553,12.718,12.471,12.69,1108000,0.0,0.0
2017-07-05,12.69,12.69,12.499,12.544,1875000,0.0,0.0
2017-07-06,12.489,12.499,12.087,12.097,2048200,0.0,0.0
2017-07-07,12.133,12.215,12.042,12.17,1692100,0.0,0.0
2017-07-10,12.133,12.252,12.005,12.014,1744800,0.0,0.0
2017-07-11,12.005,12.188,11.941,12.124,1618100,0.0,0.0
2017-07-12,12.17,12.27,12.042,12.06,2724400,0.0,0.0
2017-07-13,12.087,12.17,12.042,12.087,1252800,0.0,0.0
2017-07-14,12.151,12.444,12.097,12.398,1541300,0.0,0.0
2017-07-17,12.398,12.572,12.352,12.499,1289200,0.0,0.0
2017-07-18,12.471,12.499,12.352,12.453,1105200,0.0,0.0
2017-07-19,12.499,12.773,12.499,12.727,1339600,0.0,0.0
2017-07-20,12.709,12.864,12.681,12.754,1174800,0.0,0.0
2017-07-21,12.7,12.846,12.7,12.727,2521000,0.0,0.0
2017-07-24,12.745,12.827,12.718,12.773,1026700,0.0,0.0
2017-07-25,12.837,12.946,12.636,12.901,1271400,0.0,0.0
2017-07-26,12.901,13.102,12.901,13.001,1171200,0.0,0.0
2017-07-27,12.983,13.111,12.983,13.038,1157900,0.0,0.0
2017-07-28,13.028,13.239,13.019,13.147,1117700,0.0,0.0
2017-07-31,13.184,13.184,13.028,13.074,1051800,0.0,0.0
2017-08-01,13.138,13.211,13.038,13.184,972300,0.0,0.0
2017-08-02,13.156,13.156,12.964,13.038,1526000,0.0,0.0
2017-08-03,13.047,13.156,12.955,13.019,930400,0.0,0.0
2017-08-04,13.047,13.047,12.882,12.901,1779300,0.0,0.0
2017-08-07,12.901,13.184,12.901,13.102,954000,0.0,0.0
2017-08-08,13.083,13.083,12.873,13.01,993500,0.0,0.0
2017-08-09,12.946,12.992,12.827,12.946,896800,0.0,0.0
2017-08-10,12.91,12.955,12.416,12.499,2989500,0.0,0.0
2017-08-11,12.572,12.827,12.243,12.27,3491000,0.0,0.0
2017-08-14,12.371,12.435,12.151,12.215,2291700,0.0,0.0
2017-08-15,12.252,12.279,12.133,12.16,1063800,0.0,0.0
2017-08-16,12.252,12.316,12.069,12.106,1535900,0.0,0.0
2017-08-17,12.06,12.288,12.06,12.087,2230600,0.0,0.0
2017-08-18,12.106,12.307,11.923,12.124,2004500,0.0,0.0
2017-08-21,12.069,12.197,12.051,12.16,1631900,0.0,0.0
2017-08-22,12.133,12.279,12.133,12.234,1197000,0.0,0.0
2017-08-23,12.142,12.188,11.987,12.042,1586700,0.0,0.0
2017-08-24,12.069,12.087,11.959,12.06,1161400,0.0,0.0
2017-08-25,12.133,12.307,11.941,12.261,1492900,0.0,0.0
2017-08-28,12.215,12.307,12.142,12.27,1557900,0.0,0.0
2017-08-29,12.206,12.234,12.097,12.206,2164700,0.0,0.0
2017-08-30,12.206,12.206,12.023,12.151,1641800,0.0,0.0
2017-08-31,12.17,12.252,12.124,12.215,1226600,0.0,0.0
2017-09-01,12.243,12.352,12.224,12.288,924300,0.0,0.0
2017-09-05,12.288,12.298,12.051,12.133,1324600,0.0,0.0
2017-09-06,12.179,12.325,12.124,12.234,3573700,0.0,0.0
2017-09-07,12.27,12.407,12.234,12.361,1844500,0.0,0.0
2017-09-08,12.361,12.371,11.978,12.005,2108900,0.0,0.0
2017-09-11,12.087,12.252,12.06,12.188,2575500,0.0,0.0
2017-09-12,12.243,12.289,12.142,12.206,1808700,0.1,0.0
2017-09-13,12.16,12.16,11.82,11.967,2002900,0.0,0.0
2017-09-14,11.967,12.05,11.93,12.013,1776800,0.0,0.0
2017-09-15,12.013,12.114,11.912,12.05,2914400,0.0,0.0
2017-09-18,12.096,12.169,11.949,12.05,1811600,0.0,0.0
2017-09-19,12.059,12.114,11.93,12.013,1779200,0.0,0.0
2017-09-20,12.059,12.16,11.995,12.123,1475200,0.0,0.0
2017-09-21,12.114,12.142,11.985,12.041,1730000,0.0,0.0
2017-09-22,11.985,12.077,11.958,11.995,1098000,0.0,0.0
2017-09-25,12.013,12.179,11.976,12.151,1404800,0.0,0.0
2017-09-26,12.179,12.179,12.031,12.068,1158300,0.0,0.0
2017-09-27,12.087,12.243,12.031,12.206,1325700,0.0,0.0
2017-09-28,12.16,12.289,12.077,12.206,2190000,0.0,0.0
2017-09-29,12.169,12.206,12.114,12.206,939800,0.0,0.0
2017-10-02,12.234,12.308,12.142,12.225,1641100,0.0,0.0
2017-10-03,12.234,12.363,12.188,12.308,1592900,0.0,0.0
2017-10-04,12.317,12.354,12.243,12.298,903100,0.0,0.0
2017-10-05,12.344,12.39,12.271,12.363,1174900,0.0,0.0
2017-10-06,12.344,12.372,12.179,12.234,1654400,0.0,0.0
2017-10-09,12.216,12.234,12.096,12.133,817000,0.0,0.0
2017-10-10,12.206,12.473,12.197,12.427,2190200,0.0,0.0
2017-10-11,12.39,12.427,12.289,12.409,1167200,0.0,0.0
2017-10-12,12.39,12.501,12.308,12.464,1768900,0.0,0.0
2017-10-13,12.528,12.648,12.446,12.593,1440900,0.0,0.0
2017-10-16,12.593,12.667,12.528,12.593,1704600,0.0,0.0
2017-10-17,12.556,12.602,12.492,12.538,1285100,0.0,0.0
2017-10-18,12.538,12.676,12.528,12.639,1219200,0.0,0.0
2017-10-19,12.565,12.621,12.473,12.538,1846300,0.0,0.0
2017-10-20,12.602,12.685,12.575,12.621,1317500,0.0,0.0
2017-10-23,12.63,12.676,12.584,12.657,1012700,0.0,0.0
2017-10-24,12.657,12.685,12.492,12.547,1497100,0.0,0.0
2017-10-25,12.538,12.621,12.446,12.575,1272000,0.0,0.0
2017-10-26,12.602,12.722,12.538,12.593,1756300,0.0,0.0
2017-10-27,12.575,12.639,12.418,12.602,1578000,0.0,0.0
2017-10-30,12.593,12.731,12.556,12.713,1394500,0.0,0.0
2017-10-31,12.731,12.731,12.547,12.575,1665500,0.0,0.0
2017-11-01,12.639,12.768,12.528,12.621,1900400,0.0,0.0
2017-11-02,12.584,12.731,12.501,12.703,1696400,0.0,0.0
2017-11-03,12.667,12.768,12.611,12.768,2278500,0.0,0.0
2017-11-06,12.786,13.145,12.74,13.145,4244400,0.0,0.0
2017-11-07,13.081,13.375,12.97,13.026,2639600,0.0,0.0
2017-11-08,12.961,13.026,12.897,13.016,1389400,0.0,0.0
2017-11-09,13.007,13.403,12.952,13.219,2515900,0.0,0.0
2017-11-10,13.495,14.535,13.431,13.9,5305800,0.0,0.0
2017-11-13,13.9,14.185,13.808,14.02,2704200,0.0,0.0
2017-11-14,13.965,14.268,13.909,14.057,3283600,0.0,0.0
2017-11-15,14.02,14.066,13.9,13.983,1929400,0.0,0.0
2017-11-16,13.974,14.48,13.946,14.471,2648200,0.0,0.0
2017-11-17,14.443,14.664,14.351,14.581,2524700,0.0,0.0
2017-11-20,14.572,14.572,14.379,14.425,2456300,0.0,0.0
2017-11-21,14.489,14.563,14.425,14.535,2538000,0.0,0.0
2017-11-22,14.563,14.609,14.508,14.517,2121200,0.0,0.0
2017-11-24,14.563,14.563,14.452,14.517,845600,0.0,0.0
2017-11-27,14.508,14.554,14.406,14.489,2445500,0.0,0.0
2017-11-28,14.544,14.876,14.48,14.867,3296300,0.0,0.0
2017-11-29,14.821,15.124,14.821,15.051,2314000,0.0,0.0
2017-11-30,15.097,15.115,14.821,14.876,3442100,0.0,0.0
