Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,164.211,164.825,162.223,163.371,938100,0.0,0.0
2017-01-04,163.919,165.11,163.531,164.569,723300,0.0,0.0
2017-01-05,162.815,166.601,160.659,166.323,956600,0.0,0.0
2017-01-06,165.11,167.215,164.708,166.901,697200,0.0,0.0
2017-01-09,166.901,167.449,165.256,165.761,601700,0.0,0.0
2017-01-10,165.702,166.228,164.387,164.672,1166900,0.0,0.0
2017-01-11,163.933,163.941,159.745,160.622,1468200,0.0,0.0
2017-01-12,160.103,160.652,156.12,158.824,1514200,0.0,0.0
2017-01-13,158.817,158.817,156.361,156.5,997600,0.0,0.0
2017-01-17,156.939,159.241,156.844,159.109,842200,0.0,0.0
2017-01-18,159.036,159.373,156.442,157.582,1056000,0.0,0.0
2017-01-19,157.114,157.903,156.434,157.385,601100,0.0,0.0
2017-01-20,157.436,159.555,156.164,159.314,1040800,0.0,0.0
2017-01-23,159.336,161.675,159.256,160.981,733800,0.0,0.0
2017-01-24,160.798,162.961,160.557,162.545,798500,0.0,0.0
2017-01-25,162.435,162.72,159.745,160.001,792000,0.0,0.0
2017-01-26,160.14,161.616,158.371,159.519,516900,0.0,0.0
2017-01-27,159.753,160.403,157.348,158.291,573200,0.0,0.0
2017-01-30,157.874,158.824,156.8,157.136,508300,0.0,0.0
2017-01-31,157.363,158.912,156.588,157.143,540100,0.0,0.0
2017-02-01,157.194,158.24,155.316,155.893,675500,0.0,0.0
2017-02-02,155.82,157.911,155.82,157.158,658900,0.0,0.0
2017-02-03,158.342,159.416,157.436,158.262,747600,0.0,0.0
2017-02-06,158.262,158.846,156.814,157.648,545700,0.0,0.0
2017-02-07,157.662,158.781,156.193,158.225,666700,0.0,0.0
2017-02-08,158.357,161.214,158.254,160.579,688000,0.0,0.0
2017-02-09,160.579,160.579,158.766,159.68,391000,0.0,0.0
2017-02-10,159.533,160.674,158.7,160.644,442000,0.0,0.0
2017-02-13,160.856,161.66,159.716,160.842,464600,0.0,0.0
2017-02-14,160.842,161.112,157.143,158.532,513400,0.0,0.0
2017-02-15,157.582,159.665,156.369,158.664,640900,0.0,0.0
2017-02-16,159.314,163.232,159.314,161.266,822600,0.0,0.0
2017-02-17,161.521,165.037,160.798,165.008,1151400,0.0,0.0
2017-02-21,164.233,166.718,163.012,166.448,833000,0.0,0.0
2017-02-22,166.718,167.895,164.335,165.359,817100,0.0,0.0
2017-02-23,167.376,169.196,162.406,165.965,1146900,0.0,0.0
2017-02-24,166.301,168.034,164.876,166.945,757600,0.0,0.0
2017-02-27,167.266,167.339,165.914,166.674,487400,0.0,0.0
2017-02-28,166.835,167.741,165.497,166.25,1039700,0.0,0.0
2017-03-01,166.674,168.604,164.511,167.617,793100,0.0,0.0
2017-03-02,167.617,168.29,165.717,165.892,815600,0.0,0.0
2017-03-03,165.22,166.258,163.919,165.629,617800,0.0,0.0
2017-03-06,165.607,166.893,164.452,166.587,423900,0.0,0.0
2017-03-07,165.878,166.652,165.139,166.652,667600,0.0,0.0
2017-03-08,166.038,166.038,163.4,163.59,861300,0.0,0.0
2017-03-09,163.721,164.745,162.011,162.508,675900,0.0,0.0
2017-03-10,162.508,164.284,159.775,160.849,767100,0.0,0.0
2017-03-13,161.188,161.837,159.057,160.252,894000,2.0,0.0
2017-03-14,160.06,162.162,159.27,161.793,667900,0.0,0.0
2017-03-15,161.741,164.994,161.321,164.581,742700,0.0,0.0
2017-03-16,164.382,164.81,162.081,162.671,798000,0.0,0.0
2017-03-17,163.283,166.425,163.047,164.109,1477800,0.0,0.0
2017-03-20,164.271,165.267,162.752,164.957,722000,0.0,0.0
2017-03-21,165.053,166.329,164.308,165.429,955000,0.0,0.0
2017-03-22,165.503,166.927,164.028,166.529,758500,0.0,0.0
2017-03-23,165.828,167.982,165.547,166.639,843000,0.0,0.0
2017-03-24,166.772,167.569,164.353,164.419,635600,0.0,0.0
2017-03-27,163.519,165.887,162.641,162.944,576200,0.0,0.0
2017-03-28,162.922,163.991,161.432,163.866,760100,0.0,0.0
2017-03-29,163.416,163.644,160.583,162.236,703500,0.0,0.0
2017-03-30,161.594,162.863,160.2,161.83,923700,0.0,0.0
2017-03-31,161.896,163.298,160.849,161.469,1004500,0.0,0.0
2017-04-03,161.535,162.413,159.366,161.764,856400,0.0,0.0
2017-04-04,161.727,163.6,160.76,162.501,745100,0.0,0.0
2017-04-05,162.28,164.832,162.154,163.962,667100,0.0,0.0
2017-04-06,163.622,164.935,163.283,164.22,550400,0.0,0.0
2017-04-07,164.53,165.348,164.198,164.928,435000,0.0,0.0
2017-04-10,164.935,166.705,164.596,166.58,518900,0.0,0.0
2017-04-11,166.691,167.591,166.433,166.971,505400,0.0,0.0
2017-04-12,166.3,167.296,164.788,165.444,637700,0.0,0.0
2017-04-13,164.862,166.919,164.839,166.676,441100,0.0,0.0
2017-04-17,167.406,170.548,166.528,170.526,694600,0.0,0.0
2017-04-18,169.708,171.279,168.402,170.519,604300,0.0,0.0
2017-04-19,170.888,170.888,169.184,169.641,453300,0.0,0.0
2017-04-20,169.826,169.944,168.306,169.206,752400,0.0,0.0
2017-04-21,169.117,169.818,168.417,168.446,819800,0.0,0.0
2017-04-24,168.859,168.933,164.168,167.045,976400,0.0,0.0
2017-04-25,167.045,167.251,165.739,166.359,526400,0.0,0.0
2017-04-26,166.418,166.418,164.707,165.171,731900,0.0,0.0
2017-04-27,165.171,165.171,155.649,157.109,2272400,0.0,0.0
2017-04-28,156.305,157.087,153.761,154.439,1423400,0.0,0.0
